,id,label,type
85,India,India,Place_Name
218,Indus,Indus,Place_Name
326,Bactria,Bactria,Place_Name
348,Ganges,Ganges,Place_Name
2538,Acesinus,Acesinus,Place_Name
4114,Oxus,Oxus,Place_Name
4155,Hydaspes,Hydaspes,Place_Name
4192,Taprobane,Taprobane,Place_Name
4213,Arachosia,Arachosia,Place_Name
4260,Muziris,Muziris,Place_Name
4501,Baragaza,Baragaza,Place_Name
4608,Aria,Aria,Place_Name
4870,Ceylon,Ceylon,Place_Name
