source,target
Italy,Aeschylus
Italy,Euripides (playwright)
Italy,"Apollonius, Apollonios, Apollonium"
Italy,Theophrastus (philosopher)
Italy,"Chares, Khares"
Italy,Phaethon (son of Helios)
Italy,Ammon
Italy,Philemon (poet)
Italy,Zenothemis
Italy,Sudines
Italy,"Metrodorus, Metrodoros"
Italy,Pytheas (explorer)
Italy,Timaeus (historian)
Italy,Philemon (poet)
Italy,Nicias (misc)
Italy,Theochrestus
Italy,Xenocrates of Aphrodisias
Italy,Mnaseas (traveller)
Italy,Penelope (d. of Icarius)
Italy,Hesperides 
Italy,Hesperus
Italy,Ctesias (physician and historian)
Italy,"Mithridates, Mithridatic"
Italy,Xenocrates of Aphrodisias
Italy,"Sophocles (playwright, Athenian general)"
Italy,"Sophocles (playwright, Athenian general)"
Italy,Meleager (s. of Oeneus)
Italy,Meleager (s. of Oeneus)
Italy,Meleager (s. of Oeneus)
Adriatic,Phaethon (son of Helios)
Adriatic,Aeschylus
Adriatic,Philoxenus of Cythera
Adriatic,Euripides (playwright)
Adriatic,Nicander
Adriatic,"Satyrus, Satyros"
Adriatic,Aeschylus
Adriatic,Euripides (playwright)
Adriatic,"Apollonius, Apollonios, Apollonium"
Adriatic,Theophrastus (philosopher)
Adriatic,"Chares, Khares"
Adriatic,Phaethon (son of Helios)
Adriatic,Ammon
Adriatic,Philemon (poet)
Adriatic,Zenothemis
Adriatic,Sudines
Adriatic,"Metrodorus, Metrodoros"
Adriatic,Pytheas (explorer)
Adriatic,Timaeus (historian)
Adriatic,Philemon (poet)
Adriatic,Nicias (misc)
Adriatic,Theochrestus
Adriatic,Xenocrates of Aphrodisias
Adriatic,Mnaseas (traveller)
Adriatic,Penelope (d. of Icarius)
Adriatic,Hesperides 
Adriatic,Hesperus
Adriatic,Ctesias (physician and historian)
Adriatic,"Mithridates, Mithridatic"
Adriatic,Xenocrates of Aphrodisias
Adriatic,"Sophocles (playwright, Athenian general)"
Adriatic,"Sophocles (playwright, Athenian general)"
Adriatic,Meleager (s. of Oeneus)
Adriatic,Meleager (s. of Oeneus)
Adriatic,Meleager (s. of Oeneus)
Electrides,Phaethon (son of Helios)
Electrides,Aeschylus
Electrides,Philoxenus of Cythera
Electrides,Euripides (playwright)
Electrides,Nicander
Electrides,"Satyrus, Satyros"
Electrides,Aeschylus
Electrides,Euripides (playwright)
Electrides,"Apollonius, Apollonios, Apollonium"
Electrides,Theophrastus (philosopher)
Electrides,"Chares, Khares"
Electrides,Phaethon (son of Helios)
Electrides,Ammon
Electrides,Philemon (poet)
Electrides,Zenothemis
Electrides,Sudines
Electrides,"Metrodorus, Metrodoros"
Electrides,Pytheas (explorer)
Electrides,Timaeus (historian)
Electrides,Philemon (poet)
Electrides,Nicias (misc)
Electrides,Theochrestus
Electrides,Xenocrates of Aphrodisias
Electrides,Mnaseas (traveller)
Electrides,Penelope (d. of Icarius)
Electrides,Hesperides 
Electrides,Hesperus
Electrides,Ctesias (physician and historian)
Electrides,"Mithridates, Mithridatic"
Electrides,Xenocrates of Aphrodisias
Electrides,"Sophocles (playwright, Athenian general)"
Electrides,"Sophocles (playwright, Athenian general)"
Electrides,Meleager (s. of Oeneus)
Electrides,Meleager (s. of Oeneus)
Electrides,Meleager (s. of Oeneus)
Po,Phaethon (son of Helios)
Po,Aeschylus
Po,Philoxenus of Cythera
Po,Euripides (playwright)
Po,Nicander
Po,"Satyrus, Satyros"
Po,Aeschylus
Po,Euripides (playwright)
Po,"Apollonius, Apollonios, Apollonium"
Po,Theophrastus (philosopher)
Po,"Chares, Khares"
Po,Phaethon (son of Helios)
Po,Ammon
Po,Philemon (poet)
Po,Zenothemis
Po,Sudines
Po,"Metrodorus, Metrodoros"
Po,Pytheas (explorer)
Po,Timaeus (historian)
Po,Philemon (poet)
Po,Nicias (misc)
Po,Theochrestus
Po,Xenocrates of Aphrodisias
Po,Mnaseas (traveller)
Po,Penelope (d. of Icarius)
Po,Hesperides 
Po,Hesperus
Po,Ctesias (physician and historian)
Po,"Mithridates, Mithridatic"
Po,Xenocrates of Aphrodisias
Po,"Sophocles (playwright, Athenian general)"
Po,"Sophocles (playwright, Athenian general)"
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Po,Phaethon (son of Helios)
Po,Aeschylus
Po,Philoxenus of Cythera
Po,Euripides (playwright)
Po,Nicander
Po,"Satyrus, Satyros"
Po,Aeschylus
Po,Euripides (playwright)
Po,"Apollonius, Apollonios, Apollonium"
Po,Theophrastus (philosopher)
Po,"Chares, Khares"
Po,Phaethon (son of Helios)
Po,Ammon
Po,Philemon (poet)
Po,Zenothemis
Po,Sudines
Po,"Metrodorus, Metrodoros"
Po,Pytheas (explorer)
Po,Timaeus (historian)
Po,Philemon (poet)
Po,Nicias (misc)
Po,Theochrestus
Po,Xenocrates of Aphrodisias
Po,Mnaseas (traveller)
Po,Penelope (d. of Icarius)
Po,Hesperides 
Po,Hesperus
Po,Ctesias (physician and historian)
Po,"Mithridates, Mithridatic"
Po,Xenocrates of Aphrodisias
Po,"Sophocles (playwright, Athenian general)"
Po,"Sophocles (playwright, Athenian general)"
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Eridanus,Phaethon (son of Helios)
Eridanus,Aeschylus
Eridanus,Philoxenus of Cythera
Eridanus,Euripides (playwright)
Eridanus,Nicander
Eridanus,"Satyrus, Satyros"
Eridanus,Aeschylus
Eridanus,Euripides (playwright)
Eridanus,"Apollonius, Apollonios, Apollonium"
Eridanus,Theophrastus (philosopher)
Eridanus,"Chares, Khares"
Eridanus,Phaethon (son of Helios)
Eridanus,Ammon
Eridanus,Philemon (poet)
Eridanus,Zenothemis
Eridanus,Sudines
Eridanus,"Metrodorus, Metrodoros"
Eridanus,Pytheas (explorer)
Eridanus,Timaeus (historian)
Eridanus,Philemon (poet)
Eridanus,Nicias (misc)
Eridanus,Theochrestus
Eridanus,Xenocrates of Aphrodisias
Eridanus,Mnaseas (traveller)
Eridanus,Penelope (d. of Icarius)
Eridanus,Hesperides 
Eridanus,Hesperus
Eridanus,Ctesias (physician and historian)
Eridanus,"Mithridates, Mithridatic"
Eridanus,Xenocrates of Aphrodisias
Eridanus,"Sophocles (playwright, Athenian general)"
Eridanus,"Sophocles (playwright, Athenian general)"
Eridanus,Meleager (s. of Oeneus)
Eridanus,Meleager (s. of Oeneus)
Eridanus,Meleager (s. of Oeneus)
Iberia,Phaethon (son of Helios)
Iberia,Aeschylus
Iberia,Philoxenus of Cythera
Iberia,Euripides (playwright)
Iberia,Nicander
Iberia,"Satyrus, Satyros"
Iberia,Aeschylus
Iberia,Euripides (playwright)
Iberia,"Apollonius, Apollonios, Apollonium"
Iberia,Theophrastus (philosopher)
Iberia,"Chares, Khares"
Iberia,Phaethon (son of Helios)
Iberia,Ammon
Iberia,Philemon (poet)
Iberia,Zenothemis
Iberia,Sudines
Iberia,"Metrodorus, Metrodoros"
Iberia,Pytheas (explorer)
Iberia,Timaeus (historian)
Iberia,Philemon (poet)
Iberia,Nicias (misc)
Iberia,Theochrestus
Iberia,Xenocrates of Aphrodisias
Iberia,Mnaseas (traveller)
Iberia,Penelope (d. of Icarius)
Iberia,Hesperides 
Iberia,Hesperus
Iberia,Ctesias (physician and historian)
Iberia,"Mithridates, Mithridatic"
Iberia,Xenocrates of Aphrodisias
Iberia,"Sophocles (playwright, Athenian general)"
Iberia,"Sophocles (playwright, Athenian general)"
Iberia,Meleager (s. of Oeneus)
Iberia,Meleager (s. of Oeneus)
Iberia,Meleager (s. of Oeneus)
Rhone,Phaethon (son of Helios)
Rhone,Aeschylus
Rhone,Philoxenus of Cythera
Rhone,Euripides (playwright)
Rhone,Nicander
Rhone,"Satyrus, Satyros"
Rhone,Aeschylus
Rhone,Euripides (playwright)
Rhone,"Apollonius, Apollonios, Apollonium"
Rhone,Theophrastus (philosopher)
Rhone,"Chares, Khares"
Rhone,Phaethon (son of Helios)
Rhone,Ammon
Rhone,Philemon (poet)
Rhone,Zenothemis
Rhone,Sudines
Rhone,"Metrodorus, Metrodoros"
Rhone,Pytheas (explorer)
Rhone,Timaeus (historian)
Rhone,Philemon (poet)
Rhone,Nicias (misc)
Rhone,Theochrestus
Rhone,Xenocrates of Aphrodisias
Rhone,Mnaseas (traveller)
Rhone,Penelope (d. of Icarius)
Rhone,Hesperides 
Rhone,Hesperus
Rhone,Ctesias (physician and historian)
Rhone,"Mithridates, Mithridatic"
Rhone,Xenocrates of Aphrodisias
Rhone,"Sophocles (playwright, Athenian general)"
Rhone,"Sophocles (playwright, Athenian general)"
Rhone,Meleager (s. of Oeneus)
Rhone,Meleager (s. of Oeneus)
Rhone,Meleager (s. of Oeneus)
Rhone,Phaethon (son of Helios)
Rhone,Aeschylus
Rhone,Philoxenus of Cythera
Rhone,Euripides (playwright)
Rhone,Nicander
Rhone,"Satyrus, Satyros"
Rhone,Aeschylus
Rhone,Euripides (playwright)
Rhone,"Apollonius, Apollonios, Apollonium"
Rhone,Theophrastus (philosopher)
Rhone,"Chares, Khares"
Rhone,Phaethon (son of Helios)
Rhone,Ammon
Rhone,Philemon (poet)
Rhone,Zenothemis
Rhone,Sudines
Rhone,"Metrodorus, Metrodoros"
Rhone,Pytheas (explorer)
Rhone,Timaeus (historian)
Rhone,Philemon (poet)
Rhone,Nicias (misc)
Rhone,Theochrestus
Rhone,Xenocrates of Aphrodisias
Rhone,Mnaseas (traveller)
Rhone,Penelope (d. of Icarius)
Rhone,Hesperides 
Rhone,Hesperus
Rhone,Ctesias (physician and historian)
Rhone,"Mithridates, Mithridatic"
Rhone,Xenocrates of Aphrodisias
Rhone,"Sophocles (playwright, Athenian general)"
Rhone,"Sophocles (playwright, Athenian general)"
Rhone,Meleager (s. of Oeneus)
Rhone,Meleager (s. of Oeneus)
Rhone,Meleager (s. of Oeneus)
Po,Phaethon (son of Helios)
Po,Aeschylus
Po,Philoxenus of Cythera
Po,Euripides (playwright)
Po,Nicander
Po,"Satyrus, Satyros"
Po,Aeschylus
Po,Euripides (playwright)
Po,"Apollonius, Apollonios, Apollonium"
Po,Theophrastus (philosopher)
Po,"Chares, Khares"
Po,Phaethon (son of Helios)
Po,Ammon
Po,Philemon (poet)
Po,Zenothemis
Po,Sudines
Po,"Metrodorus, Metrodoros"
Po,Pytheas (explorer)
Po,Timaeus (historian)
Po,Philemon (poet)
Po,Nicias (misc)
Po,Theochrestus
Po,Xenocrates of Aphrodisias
Po,Mnaseas (traveller)
Po,Penelope (d. of Icarius)
Po,Hesperides 
Po,Hesperus
Po,Ctesias (physician and historian)
Po,"Mithridates, Mithridatic"
Po,Xenocrates of Aphrodisias
Po,"Sophocles (playwright, Athenian general)"
Po,"Sophocles (playwright, Athenian general)"
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Adriatic,Phaethon (son of Helios)
Adriatic,Aeschylus
Adriatic,Philoxenus of Cythera
Adriatic,Euripides (playwright)
Adriatic,Nicander
Adriatic,"Satyrus, Satyros"
Adriatic,Aeschylus
Adriatic,Euripides (playwright)
Adriatic,"Apollonius, Apollonios, Apollonium"
Adriatic,Theophrastus (philosopher)
Adriatic,"Chares, Khares"
Adriatic,Phaethon (son of Helios)
Adriatic,Ammon
Adriatic,Philemon (poet)
Adriatic,Zenothemis
Adriatic,Sudines
Adriatic,"Metrodorus, Metrodoros"
Adriatic,Pytheas (explorer)
Adriatic,Timaeus (historian)
Adriatic,Philemon (poet)
Adriatic,Nicias (misc)
Adriatic,Theochrestus
Adriatic,Xenocrates of Aphrodisias
Adriatic,Mnaseas (traveller)
Adriatic,Penelope (d. of Icarius)
Adriatic,Hesperides 
Adriatic,Hesperus
Adriatic,Ctesias (physician and historian)
Adriatic,"Mithridates, Mithridatic"
Adriatic,Xenocrates of Aphrodisias
Adriatic,"Sophocles (playwright, Athenian general)"
Adriatic,"Sophocles (playwright, Athenian general)"
Adriatic,Meleager (s. of Oeneus)
Adriatic,Meleager (s. of Oeneus)
Adriatic,Meleager (s. of Oeneus)
Adriatic,Phaethon (son of Helios)
Adriatic,Aeschylus
Adriatic,Philoxenus of Cythera
Adriatic,Euripides (playwright)
Adriatic,Nicander
Adriatic,"Satyrus, Satyros"
Adriatic,Aeschylus
Adriatic,Euripides (playwright)
Adriatic,"Apollonius, Apollonios, Apollonium"
Adriatic,Theophrastus (philosopher)
Adriatic,"Chares, Khares"
Adriatic,Phaethon (son of Helios)
Adriatic,Ammon
Adriatic,Philemon (poet)
Adriatic,Zenothemis
Adriatic,Sudines
Adriatic,"Metrodorus, Metrodoros"
Adriatic,Pytheas (explorer)
Adriatic,Timaeus (historian)
Adriatic,Philemon (poet)
Adriatic,Nicias (misc)
Adriatic,Theochrestus
Adriatic,Xenocrates of Aphrodisias
Adriatic,Mnaseas (traveller)
Adriatic,Penelope (d. of Icarius)
Adriatic,Hesperides 
Adriatic,Hesperus
Adriatic,Ctesias (physician and historian)
Adriatic,"Mithridates, Mithridatic"
Adriatic,Xenocrates of Aphrodisias
Adriatic,"Sophocles (playwright, Athenian general)"
Adriatic,"Sophocles (playwright, Athenian general)"
Adriatic,Meleager (s. of Oeneus)
Adriatic,Meleager (s. of Oeneus)
Adriatic,Meleager (s. of Oeneus)
Liguria,Phaethon (son of Helios)
Liguria,Aeschylus
Liguria,Philoxenus of Cythera
Liguria,Euripides (playwright)
Liguria,Nicander
Liguria,"Satyrus, Satyros"
Liguria,Aeschylus
Liguria,Euripides (playwright)
Liguria,"Apollonius, Apollonios, Apollonium"
Liguria,Theophrastus (philosopher)
Liguria,"Chares, Khares"
Liguria,Phaethon (son of Helios)
Liguria,Ammon
Liguria,Philemon (poet)
Liguria,Zenothemis
Liguria,Sudines
Liguria,"Metrodorus, Metrodoros"
Liguria,Pytheas (explorer)
Liguria,Timaeus (historian)
Liguria,Philemon (poet)
Liguria,Nicias (misc)
Liguria,Theochrestus
Liguria,Xenocrates of Aphrodisias
Liguria,Mnaseas (traveller)
Liguria,Penelope (d. of Icarius)
Liguria,Hesperides 
Liguria,Hesperus
Liguria,Ctesias (physician and historian)
Liguria,"Mithridates, Mithridatic"
Liguria,Xenocrates of Aphrodisias
Liguria,"Sophocles (playwright, Athenian general)"
Liguria,"Sophocles (playwright, Athenian general)"
Liguria,Meleager (s. of Oeneus)
Liguria,Meleager (s. of Oeneus)
Liguria,Meleager (s. of Oeneus)
Ethiopia,Phaethon (son of Helios)
Ethiopia,Aeschylus
Ethiopia,Philoxenus of Cythera
Ethiopia,Euripides (playwright)
Ethiopia,Nicander
Ethiopia,"Satyrus, Satyros"
Ethiopia,Aeschylus
Ethiopia,Euripides (playwright)
Ethiopia,"Apollonius, Apollonios, Apollonium"
Ethiopia,Theophrastus (philosopher)
Ethiopia,"Chares, Khares"
Ethiopia,Phaethon (son of Helios)
Ethiopia,Ammon
Ethiopia,Philemon (poet)
Ethiopia,Zenothemis
Ethiopia,Sudines
Ethiopia,"Metrodorus, Metrodoros"
Ethiopia,Pytheas (explorer)
Ethiopia,Timaeus (historian)
Ethiopia,Philemon (poet)
Ethiopia,Nicias (misc)
Ethiopia,Theochrestus
Ethiopia,Xenocrates of Aphrodisias
Ethiopia,Mnaseas (traveller)
Ethiopia,Penelope (d. of Icarius)
Ethiopia,Hesperides 
Ethiopia,Hesperus
Ethiopia,Ctesias (physician and historian)
Ethiopia,"Mithridates, Mithridatic"
Ethiopia,Xenocrates of Aphrodisias
Ethiopia,"Sophocles (playwright, Athenian general)"
Ethiopia,"Sophocles (playwright, Athenian general)"
Ethiopia,Meleager (s. of Oeneus)
Ethiopia,Meleager (s. of Oeneus)
Ethiopia,Meleager (s. of Oeneus)
Scythia,Phaethon (son of Helios)
Scythia,Aeschylus
Scythia,Philoxenus of Cythera
Scythia,Euripides (playwright)
Scythia,Nicander
Scythia,"Satyrus, Satyros"
Scythia,Aeschylus
Scythia,Euripides (playwright)
Scythia,"Apollonius, Apollonios, Apollonium"
Scythia,Theophrastus (philosopher)
Scythia,"Chares, Khares"
Scythia,Phaethon (son of Helios)
Scythia,Ammon
Scythia,Philemon (poet)
Scythia,Zenothemis
Scythia,Sudines
Scythia,"Metrodorus, Metrodoros"
Scythia,Pytheas (explorer)
Scythia,Timaeus (historian)
Scythia,Philemon (poet)
Scythia,Nicias (misc)
Scythia,Theochrestus
Scythia,Xenocrates of Aphrodisias
Scythia,Mnaseas (traveller)
Scythia,Penelope (d. of Icarius)
Scythia,Hesperides 
Scythia,Hesperus
Scythia,Ctesias (physician and historian)
Scythia,"Mithridates, Mithridatic"
Scythia,Xenocrates of Aphrodisias
Scythia,"Sophocles (playwright, Athenian general)"
Scythia,"Sophocles (playwright, Athenian general)"
Scythia,Meleager (s. of Oeneus)
Scythia,Meleager (s. of Oeneus)
Scythia,Meleager (s. of Oeneus)
Italy,Phaethon (son of Helios)
Italy,Aeschylus
Italy,Philoxenus of Cythera
Italy,Euripides (playwright)
Italy,Nicander
Italy,"Satyrus, Satyros"
Italy,Aeschylus
Italy,Euripides (playwright)
Italy,"Apollonius, Apollonios, Apollonium"
Italy,Theophrastus (philosopher)
Italy,"Chares, Khares"
Italy,Phaethon (son of Helios)
Italy,Ammon
Italy,Philemon (poet)
Italy,Zenothemis
Italy,Sudines
Italy,"Metrodorus, Metrodoros"
Italy,Pytheas (explorer)
Italy,Timaeus (historian)
Italy,Philemon (poet)
Italy,Nicias (misc)
Italy,Theochrestus
Italy,Xenocrates of Aphrodisias
Italy,Mnaseas (traveller)
Italy,Penelope (d. of Icarius)
Italy,Hesperides 
Italy,Hesperus
Italy,Ctesias (physician and historian)
Italy,"Mithridates, Mithridatic"
Italy,Xenocrates of Aphrodisias
Italy,"Sophocles (playwright, Athenian general)"
Italy,"Sophocles (playwright, Athenian general)"
Italy,Meleager (s. of Oeneus)
Italy,Meleager (s. of Oeneus)
Italy,Meleager (s. of Oeneus)
Po,Phaethon (son of Helios)
Po,Aeschylus
Po,Philoxenus of Cythera
Po,Euripides (playwright)
Po,Nicander
Po,"Satyrus, Satyros"
Po,Aeschylus
Po,Euripides (playwright)
Po,"Apollonius, Apollonios, Apollonium"
Po,Theophrastus (philosopher)
Po,"Chares, Khares"
Po,Phaethon (son of Helios)
Po,Ammon
Po,Philemon (poet)
Po,Zenothemis
Po,Sudines
Po,"Metrodorus, Metrodoros"
Po,Pytheas (explorer)
Po,Timaeus (historian)
Po,Philemon (poet)
Po,Nicias (misc)
Po,Theochrestus
Po,Xenocrates of Aphrodisias
Po,Mnaseas (traveller)
Po,Penelope (d. of Icarius)
Po,Hesperides 
Po,Hesperus
Po,Ctesias (physician and historian)
Po,"Mithridates, Mithridatic"
Po,Xenocrates of Aphrodisias
Po,"Sophocles (playwright, Athenian general)"
Po,"Sophocles (playwright, Athenian general)"
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Po,Meleager (s. of Oeneus)
Liguria,Phaethon (son of Helios)
Liguria,Aeschylus
Liguria,Philoxenus of Cythera
Liguria,Euripides (playwright)
Liguria,Nicander
Liguria,"Satyrus, Satyros"
Liguria,Aeschylus
Liguria,Euripides (playwright)
Liguria,"Apollonius, Apollonios, Apollonium"
Liguria,Theophrastus (philosopher)
Liguria,"Chares, Khares"
Liguria,Phaethon (son of Helios)
Liguria,Ammon
Liguria,Philemon (poet)
Liguria,Zenothemis
Liguria,Sudines
Liguria,"Metrodorus, Metrodoros"
Liguria,Pytheas (explorer)
Liguria,Timaeus (historian)
Liguria,Philemon (poet)
Liguria,Nicias (misc)
Liguria,Theochrestus
Liguria,Xenocrates of Aphrodisias
Liguria,Mnaseas (traveller)
Liguria,Penelope (d. of Icarius)
Liguria,Hesperides 
Liguria,Hesperus
Liguria,Ctesias (physician and historian)
Liguria,"Mithridates, Mithridatic"
Liguria,Xenocrates of Aphrodisias
Liguria,"Sophocles (playwright, Athenian general)"
Liguria,"Sophocles (playwright, Athenian general)"
Liguria,Meleager (s. of Oeneus)
Liguria,Meleager (s. of Oeneus)
Liguria,Meleager (s. of Oeneus)
Britain,Phaethon (son of Helios)
Britain,Aeschylus
Britain,Philoxenus of Cythera
Britain,Euripides (playwright)
Britain,Nicander
Britain,"Satyrus, Satyros"
Britain,Aeschylus
Britain,Euripides (playwright)
Britain,"Apollonius, Apollonios, Apollonium"
Britain,Theophrastus (philosopher)
Britain,"Chares, Khares"
Britain,Phaethon (son of Helios)
Britain,Ammon
Britain,Philemon (poet)
Britain,Zenothemis
Britain,Sudines
Britain,"Metrodorus, Metrodoros"
Britain,Pytheas (explorer)
Britain,Timaeus (historian)
Britain,Philemon (poet)
Britain,Nicias (misc)
Britain,Theochrestus
Britain,Xenocrates of Aphrodisias
Britain,Mnaseas (traveller)
Britain,Penelope (d. of Icarius)
Britain,Hesperides 
Britain,Hesperus
Britain,Ctesias (physician and historian)
Britain,"Mithridates, Mithridatic"
Britain,Xenocrates of Aphrodisias
Britain,"Sophocles (playwright, Athenian general)"
Britain,"Sophocles (playwright, Athenian general)"
Britain,Meleager (s. of Oeneus)
Britain,Meleager (s. of Oeneus)
Britain,Meleager (s. of Oeneus)
Electrides,Phaethon (son of Helios)
Electrides,Aeschylus
Electrides,Philoxenus of Cythera
Electrides,Euripides (playwright)
Electrides,Nicander
Electrides,"Satyrus, Satyros"
Electrides,Aeschylus
Electrides,Euripides (playwright)
Electrides,"Apollonius, Apollonios, Apollonium"
Electrides,Theophrastus (philosopher)
Electrides,"Chares, Khares"
Electrides,Phaethon (son of Helios)
Electrides,Ammon
Electrides,Philemon (poet)
Electrides,Zenothemis
Electrides,Sudines
Electrides,"Metrodorus, Metrodoros"
Electrides,Pytheas (explorer)
Electrides,Timaeus (historian)
Electrides,Philemon (poet)
Electrides,Nicias (misc)
Electrides,Theochrestus
Electrides,Xenocrates of Aphrodisias
Electrides,Mnaseas (traveller)
Electrides,Penelope (d. of Icarius)
Electrides,Hesperides 
Electrides,Hesperus
Electrides,Ctesias (physician and historian)
Electrides,"Mithridates, Mithridatic"
Electrides,Xenocrates of Aphrodisias
Electrides,"Sophocles (playwright, Athenian general)"
Electrides,"Sophocles (playwright, Athenian general)"
Electrides,Meleager (s. of Oeneus)
Electrides,Meleager (s. of Oeneus)
Electrides,Meleager (s. of Oeneus)
Egypt,Phaethon (son of Helios)
Egypt,Aeschylus
Egypt,Philoxenus of Cythera
Egypt,Euripides (playwright)
Egypt,Nicander
Egypt,"Satyrus, Satyros"
Egypt,Aeschylus
Egypt,Euripides (playwright)
Egypt,"Apollonius, Apollonios, Apollonium"
Egypt,Theophrastus (philosopher)
Egypt,"Chares, Khares"
Egypt,Phaethon (son of Helios)
Egypt,Ammon
Egypt,Philemon (poet)
Egypt,Zenothemis
Egypt,Sudines
Egypt,"Metrodorus, Metrodoros"
Egypt,Pytheas (explorer)
Egypt,Timaeus (historian)
Egypt,Philemon (poet)
Egypt,Nicias (misc)
Egypt,Theochrestus
Egypt,Xenocrates of Aphrodisias
Egypt,Mnaseas (traveller)
Egypt,Penelope (d. of Icarius)
Egypt,Hesperides 
Egypt,Hesperus
Egypt,Ctesias (physician and historian)
Egypt,"Mithridates, Mithridatic"
Egypt,Xenocrates of Aphrodisias
Egypt,"Sophocles (playwright, Athenian general)"
Egypt,"Sophocles (playwright, Athenian general)"
Egypt,Meleager (s. of Oeneus)
Egypt,Meleager (s. of Oeneus)
Egypt,Meleager (s. of Oeneus)
India,Phaethon (son of Helios)
India,Aeschylus
India,Philoxenus of Cythera
India,Euripides (playwright)
India,Nicander
India,"Satyrus, Satyros"
India,Aeschylus
India,Euripides (playwright)
India,"Apollonius, Apollonios, Apollonium"
India,Theophrastus (philosopher)
India,"Chares, Khares"
India,Phaethon (son of Helios)
India,Ammon
India,Philemon (poet)
India,Zenothemis
India,Sudines
India,"Metrodorus, Metrodoros"
India,Pytheas (explorer)
India,Timaeus (historian)
India,Philemon (poet)
India,Nicias (misc)
India,Theochrestus
India,Xenocrates of Aphrodisias
India,Mnaseas (traveller)
India,Penelope (d. of Icarius)
India,Hesperides 
India,Hesperus
India,Ctesias (physician and historian)
India,"Mithridates, Mithridatic"
India,Xenocrates of Aphrodisias
India,"Sophocles (playwright, Athenian general)"
India,"Sophocles (playwright, Athenian general)"
India,Meleager (s. of Oeneus)
India,Meleager (s. of Oeneus)
India,Meleager (s. of Oeneus)
Syria,Phaethon (son of Helios)
Syria,Aeschylus
Syria,Philoxenus of Cythera
Syria,Euripides (playwright)
Syria,Nicander
Syria,"Satyrus, Satyros"
Syria,Aeschylus
Syria,Euripides (playwright)
Syria,"Apollonius, Apollonios, Apollonium"
Syria,Theophrastus (philosopher)
Syria,"Chares, Khares"
Syria,Phaethon (son of Helios)
Syria,Ammon
Syria,Philemon (poet)
Syria,Zenothemis
Syria,Sudines
Syria,"Metrodorus, Metrodoros"
Syria,Pytheas (explorer)
Syria,Timaeus (historian)
Syria,Philemon (poet)
Syria,Nicias (misc)
Syria,Theochrestus
Syria,Xenocrates of Aphrodisias
Syria,Mnaseas (traveller)
Syria,Penelope (d. of Icarius)
Syria,Hesperides 
Syria,Hesperus
Syria,Ctesias (physician and historian)
Syria,"Mithridates, Mithridatic"
Syria,Xenocrates of Aphrodisias
Syria,"Sophocles (playwright, Athenian general)"
Syria,"Sophocles (playwright, Athenian general)"
Syria,Meleager (s. of Oeneus)
Syria,Meleager (s. of Oeneus)
Syria,Meleager (s. of Oeneus)
Pyrenees,Phaethon (son of Helios)
Pyrenees,Aeschylus
Pyrenees,Philoxenus of Cythera
Pyrenees,Euripides (playwright)
Pyrenees,Nicander
Pyrenees,"Satyrus, Satyros"
Pyrenees,Aeschylus
Pyrenees,Euripides (playwright)
Pyrenees,"Apollonius, Apollonios, Apollonium"
Pyrenees,Theophrastus (philosopher)
Pyrenees,"Chares, Khares"
Pyrenees,Phaethon (son of Helios)
Pyrenees,Ammon
Pyrenees,Philemon (poet)
Pyrenees,Zenothemis
Pyrenees,Sudines
Pyrenees,"Metrodorus, Metrodoros"
Pyrenees,Pytheas (explorer)
Pyrenees,Timaeus (historian)
Pyrenees,Philemon (poet)
Pyrenees,Nicias (misc)
Pyrenees,Theochrestus
Pyrenees,Xenocrates of Aphrodisias
Pyrenees,Mnaseas (traveller)
Pyrenees,Penelope (d. of Icarius)
Pyrenees,Hesperides 
Pyrenees,Hesperus
Pyrenees,Ctesias (physician and historian)
Pyrenees,"Mithridates, Mithridatic"
Pyrenees,Xenocrates of Aphrodisias
Pyrenees,"Sophocles (playwright, Athenian general)"
Pyrenees,"Sophocles (playwright, Athenian general)"
Pyrenees,Meleager (s. of Oeneus)
Pyrenees,Meleager (s. of Oeneus)
Pyrenees,Meleager (s. of Oeneus)
Sikyon,Phaethon (son of Helios)
Sikyon,Aeschylus
Sikyon,Philoxenus of Cythera
Sikyon,Euripides (playwright)
Sikyon,Nicander
Sikyon,"Satyrus, Satyros"
Sikyon,Aeschylus
Sikyon,Euripides (playwright)
Sikyon,"Apollonius, Apollonios, Apollonium"
Sikyon,Theophrastus (philosopher)
Sikyon,"Chares, Khares"
Sikyon,Phaethon (son of Helios)
Sikyon,Ammon
Sikyon,Philemon (poet)
Sikyon,Zenothemis
Sikyon,Sudines
Sikyon,"Metrodorus, Metrodoros"
Sikyon,Pytheas (explorer)
Sikyon,Timaeus (historian)
Sikyon,Philemon (poet)
Sikyon,Nicias (misc)
Sikyon,Theochrestus
Sikyon,Xenocrates of Aphrodisias
Sikyon,Mnaseas (traveller)
Sikyon,Penelope (d. of Icarius)
Sikyon,Hesperides 
Sikyon,Hesperus
Sikyon,Ctesias (physician and historian)
Sikyon,"Mithridates, Mithridatic"
Sikyon,Xenocrates of Aphrodisias
