source,target
Ephesus,Artemidorus Ephesius
Ephesus,Isidoros of Charax
Ephesus,Artemidorus Ephesius
Ephesus,Artemidorus Ephesius
Ephesus,"Heracles (s. of Zeus), Hercules"
Ephesus,Artemidorus Ephesius
Ephesus,Isidoros of Charax
Ephesus,Artemidorus Ephesius
Ephesus,Artemidorus Ephesius
Aegean Sea,"Heracles (s. of Zeus), Hercules"
Aegean Sea,Artemidorus Ephesius
Aegean Sea,Isidoros of Charax
Aegean Sea,Artemidorus Ephesius
Aegean Sea,Artemidorus Ephesius
Delos,"Heracles (s. of Zeus), Hercules"
Delos,Artemidorus Ephesius
Delos,Isidoros of Charax
Delos,Artemidorus Ephesius
Delos,Artemidorus Ephesius
Isthmus,"Heracles (s. of Zeus), Hercules"
Isthmus,Artemidorus Ephesius
Isthmus,Isidoros of Charax
Isthmus,Artemidorus Ephesius
Isthmus,Artemidorus Ephesius
Gulf of Corinth,"Heracles (s. of Zeus), Hercules"
Gulf of Corinth,Artemidorus Ephesius
Gulf of Corinth,Isidoros of Charax
Gulf of Corinth,Artemidorus Ephesius
Gulf of Corinth,Artemidorus Ephesius
Patras,"Heracles (s. of Zeus), Hercules"
Patras,Artemidorus Ephesius
Patras,Isidoros of Charax
Patras,Artemidorus Ephesius
Patras,Artemidorus Ephesius
Peloponnese,"Heracles (s. of Zeus), Hercules"
Peloponnese,Artemidorus Ephesius
Peloponnese,Isidoros of Charax
Peloponnese,Artemidorus Ephesius
Peloponnese,Artemidorus Ephesius
Leucas,"Heracles (s. of Zeus), Hercules"
Leucas,Artemidorus Ephesius
Leucas,Isidoros of Charax
Leucas,Artemidorus Ephesius
Leucas,Artemidorus Ephesius
Corcyra,"Heracles (s. of Zeus), Hercules"
Corcyra,Artemidorus Ephesius
Corcyra,Isidoros of Charax
Corcyra,Artemidorus Ephesius
Corcyra,Artemidorus Ephesius
Acroceraunia,"Heracles (s. of Zeus), Hercules"
Acroceraunia,Artemidorus Ephesius
Acroceraunia,Isidoros of Charax
Acroceraunia,Artemidorus Ephesius
Acroceraunia,Artemidorus Ephesius
Brindisi,"Heracles (s. of Zeus), Hercules"
Brindisi,Artemidorus Ephesius
Brindisi,Isidoros of Charax
Brindisi,Artemidorus Ephesius
Brindisi,Artemidorus Ephesius
Rome,"Heracles (s. of Zeus), Hercules"
Rome,Artemidorus Ephesius
Rome,Isidoros of Charax
Rome,Artemidorus Ephesius
Rome,Artemidorus Ephesius
Alps,"Heracles (s. of Zeus), Hercules"
Alps,Artemidorus Ephesius
Alps,Isidoros of Charax
Alps,Artemidorus Ephesius
Alps,Artemidorus Ephesius
Scingomagum,"Heracles (s. of Zeus), Hercules"
Scingomagum,Artemidorus Ephesius
Scingomagum,Isidoros of Charax
Scingomagum,Artemidorus Ephesius
Scingomagum,Artemidorus Ephesius
Pyrenees,"Heracles (s. of Zeus), Hercules"
Pyrenees,Artemidorus Ephesius
Pyrenees,Isidoros of Charax
Pyrenees,Artemidorus Ephesius
Pyrenees,Artemidorus Ephesius
Illiberis,"Heracles (s. of Zeus), Hercules"
Illiberis,Artemidorus Ephesius
Illiberis,Isidoros of Charax
Illiberis,Artemidorus Ephesius
Illiberis,Artemidorus Ephesius
