Id,Label
Obulco,Obulco
Sacili,Sacili
Carbula,Carbula
Ilipa,Ilipa
Italica,Italica
Lucurgentum,Lucurgentum
Nebrissa,Nebrissa
Hasta,Hasta
Tucci,Tucci
Itucci,Itucci
Ucubi,Ucubi
Urso,Urso
Munda,Munda
Ostippo,Ostippo
Callet,Callet
Callicula,Callicula
Seria,Seria
Nertobriga,Nertobriga
Ugultunia,Ugultunia
Celtica,Celtica
Acinippo,Acinippo
Arunda,Arunda
Mirobriga,Mirobriga
Sisapo,Sisapo
Regina,Regina
Urgia,Urgia
Lacippo,Lacippo
Iptuci,Iptuci
Saudo,Saudo
Castulo,Castulo
trophies,trophies
Caesar Augusta,Caesar Augusta
Clunia,Clunia
Asturica,Asturica
Lucus,Lucus
Tagus,Tagus
New Carthage,New Carthage
Caesarea,Caesarea
Mauritania,Mauritania
Ilici,Ilici
Lucentum,Lucentum
Dianium,Dianium
Sucro,Sucro
Celtiberia,Celtiberia
Valentia,Valentia
Saguntum,Saguntum
Iberus,Iberus
Juliobriga,Juliobriga
Varia,Varia
Iberia,Iberia
Subur,Subur
Rubricatum,Rubricatum
Barcino,Barcino
Baetulo,Baetulo
Iluro,Iluro
Blandae,Blandae
Emporiae,Emporiae
Venus Pyrenaea,Venus Pyrenaea
Accitana colony,Accitana colony
Libisosona,Libisosona
Salaria,Salaria
Latium,Latium
Segobriga,Segobriga
Toletum,Toletum
Tritium,Tritium
Virovesca,Virovesca
Segontia,Segontia
Uxama,Uxama
Segovia,Segovia
Termes,Termes
Varus,Varus
Jura,Jura
Ruscino,Ruscino
Narbo,Narbo
Agatha,Agatha
Rhoda,Rhoda
Rhodanus,Rhodanus
Lemanus,Lemanus
Arar,Arar
Isara,Isara
Druentia,Druentia
Massilia,Massilia
Citharista,Citharista
Forum Julii,Forum Julii
Antipolis,Antipolis
Arelate,Arelate
Sextanorum,Sextanorum
Beterrae,Beterrae
Arausio,Arausio
Aquae Sextiae,Aquae Sextiae
Avenio,Avenio
Apta Julia,Apta Julia
Alebece,Alebece
Cabellio,Cabellio
Carcasum,Carcasum
Cessero,Cessero
Carpentoracte,Carpentoracte
Forum Voconi,Forum Voconi
Glanum,Glanum
Nemausum,Nemausum
Aquitania,Aquitania
Vasio,Vasio
Lucus Augusti,Lucus Augusti
Tiber,Tiber
Leucopetra,Leucopetra
Praetoria Augusta,Praetoria Augusta
Capua,Capua
Rhegium,Rhegium
Adriatic,Adriatic
Alsium,Alsium
Istria,Istria
Liburnia,Liburnia
Epirus,Epirus
Illyricum,Illyricum
Corsica,Corsica
Issa,Issa
Nicaea,Nicaea
Cemenelio,Cemenelio
Albium Intemelium,Albium Intemelium
Albium Ingaunum,Albium Ingaunum
Genua,Genua
Macra,Macra
Liguria,Liguria
Padus,Padus
Libarna,Libarna
Dertona,Dertona
Barderate,Barderate
Industria,Industria
Pollentia,Pollentia
Carrea Potentia,Carrea Potentia
Augusta of the Vagienni,Augusta of the Vagienni
Alba Pompeia,Alba Pompeia
Asta,Asta
Aquae Statiellorum,Aquae Statiellorum
Luna,Luna
Luca,Luca
Pisae,Pisae
Arnus,Arnus
Volaterrana,Volaterrana
Populonium,Populonium
Telamon,Telamon
Cosa,Cosa
Graviscae,Graviscae
Castrum novum,Castrum novum
Pyrgi,Pyrgi
Caere,Caere
Agylla,Agylla
Fregenae,Fregenae
Lucus Feroniae,Lucus Feroniae
Rusellana,Rusellana
Sutrina,Sutrina
Faesulae,Faesulae
Ferentinum,Ferentinum
Perusia,Perusia
Crustumerium,Crustumerium
Tifernum,Tifernum
Ocriculum,Ocriculum
Anio,Anio
City,City
Circeii,Circeii
Laurentum,Laurentum
Ardea,Ardea
Antium,Antium
Astura,Astura
Anxur,Anxur
Caieta,Caieta
Formiae,Formiae
Hormiae,Hormiae
Minturnae,Minturnae
Setia,Setia
Surrentum,Surrentum
Volturnum,Volturnum
Liternum,Liternum
Cumae,Cumae
Misenum,Misenum
Bauli,Bauli
Lucrine Lake,Lucrine Lake
Avernus,Avernus
Puteoli,Puteoli
Dicaearchia,Dicaearchia
Neapolis,Neapolis
Parthenope,Parthenope
Herculaneum,Herculaneum
Pompeii,Pompeii
Vesuvius,Vesuvius
Sarnus,Sarnus
Nuceria,Nuceria
Promontory,Promontory
Aquinum,Aquinum
Suessa,Suessa
Venafrum,Venafrum
Sora,Sora
Teanum,Teanum
Sidicinum,Sidicinum
Nola,Nola
Abella,Abella
Alba Longa,Alba Longa
Bovillae,Bovillae
Calatia,Calatia
Alban Mount,Alban Mount
Forum Appi,Forum Appi
Forum,Forum
Praetorian encampment ,Praetorian encampment 
Satricum,Satricum
Pometia,Pometia
Scaptia,Scaptia
Politorium,Politorium
Tellene,Tellene
Caenina,Caenina
Ficana,Ficana
Medullum,Medullum
Corniculum,Corniculum
Saturnia,Saturnia
Janiculum,Janiculum
Antemnae,Antemnae
Collatia,Collatia
Norbe,Norbe
Sulmo,Sulmo
Stabiae,Stabiae
Casilinum,Casilinum
Silarus,Silarus
Argive Juno,Argive Juno
Salernum,Salernum
Paestum,Paestum
Posidonia,Posidonia
Elea,Elea
Velia,Velia
Buxentum,Buxentum
Pyxus,Pyxus
Laus,Laus
Blanda,Blanda
Vibo,Vibo
Temsa,Temsa
Terina,Terina
Crotona,Crotona
Consentia,Consentia
Hippo,Hippo
Vibo Valentia,Vibo Valentia
Metaurus,Metaurus
Medma,Medma
Scyllaion,Scyllaion
Caenys,Caenys
Pelorus,Pelorus
Zephyrium,Zephyrium
Porthmos,Porthmos
Tuscan sea,Tuscan sea
Tyrrhenian sea,Tyrrhenian sea
Baleares,Baleares
Pityussae,Pityussae
Ebusus,Ebusus
Colubraria,Colubraria
Gymnasiae,Gymnasiae
Palma,Palma
Sanisera,Sanisera
Capraria,Capraria
Stoechades,Stoechades
Lero,Lero
Lerina,Lerina
Cyrnos,Cyrnos
Mariana,Mariana
Aleria,Aleria
Ilva,Ilva
Aethalia,Aethalia
Planasia,Planasia
Pontiae,Pontiae
Pandateria,Pandateria
Aenaria,Aenaria
Pithecusa,Pithecusa
Capreae,Capreae
Gordis,Gordis
Sulcis,Sulcis
Ad Turrim Libysonis,Ad Turrim Libysonis
Trinacria,Trinacria
rock of Scylla,rock of Scylla
Charybdis,Charybdis
Pachynum,Pachynum
Peloponnesus,Peloponnesus
promontory of Mercury,promontory of Mercury
Ionian Sea,Ionian Sea
Messana,Messana
Drepanum,Drepanum
Tauromenium,Tauromenium
Naxos,Naxos
Aetna,Aetna
Catina,Catina
Symaethus,Symaethus
Leontinum,Leontinum
